,text,sentiment
806914,"What is the advantage of public updates? I will give it a try. If you know, do tell ",positive
896786,Had the BEST housewarming dinner with friends . Wii games after that ,positive
726130,@nicolecorreia47 noooooo jobro just did first show with Miley ,negative
224071,awww at the b-ball game! ,negative
242387,People Are Not Always Who They Say They Are or Claim To Be...I Found That Out The Hard Way..As I Always Do....&quot;How Stupid Can I Be&quot;?  ,negative
904330,@Stephkerchner heard through the grapevine that we might see you around today. Looking forward to meeting you. ,positive
1561416,talking to ppl. txxxt ,positive
121731,Really long weekend.. Tomorrow morning go to the dentist with Kat to have her tooth removed... ,negative
658048,@thewino I'm so sorry to here about the layoff ,negative
960528,"I dyed my hair last night, and i didnt wash it after like i usually do, so its much darker ",positive
318009,@bethbear im not coming to adelaide in july anymore   but if u know anyone who likes short stack/ ellington or amber calling &gt;,negative
250145,I think I'm having problems with my video card or something because Youtube is not working for me at all ,negative
1468678,"If it could be sunny everyday...no rain, no cold weather ever...I wouldn't complain; just sayin  There should be a sun smiley to put here.",positive
590341,"@miiiiileyyyyy Can you do me a favor and pray for my niece Hannah, been in &amp; out of the hospital with jaundice.  was just born Saturday",negative
1166087,Everyone exited about the Take That tour say *Wayhey!*/Everyone exited about new moon say  *swoon* ,positive
220434,Flats for 13 hours straight equals smelly feet. And my feet never smell ,negative
1579369,I amgoing for swim after work.. Get energized and clear my mind ,positive
657310,"@x__rachh92 no im not, working in the afternoon  i definatly wont see her then  may have to stay all day friday are you going in then?",negative
803349,"Probably looking at short week too, with long weekend.  enjoy the nice weather!",positive
1476521,@KatrinaLISHus hahaha what?! You are so going to have to explain that to me when I get home. ,positive
196849,yellow hornets in my bookshelf sting me ,negative
273442,Wont India help them? http://bit.ly/ZPgkn  @ShashiTharoor Serious action needed before Rajapakse comes here ,negative
1585001,"@hrms Thanks, too, for buying the report ",positive
608663,@SethStevenson ,negative
945286,@minduck were good so far. ,positive
1246526,@larrycolangelo this is a good move. Acela? Hey - looking forward to seeing you guys on Thurs. Bringing treats ,positive
1456192,looking for something to eat...uhm...a cheesy bread and C2 apple  nam nam,positive
110823,Es regnet! Es regnet! Looks like the BBQ is cancelled!  At least the UK didnt get 'nil points' at Eurovision!,negative
1013047,@mhisham you're very welcomed.  #followfriday,positive
292901,eating carrots to stave off hunger b4 dinner.  reduced training volume during taper means I get to eat less food  #fb,negative
491937,@in2mee aww really? soz hun . . . still haven't heard anything . . . probably didn't get it either applied after you ,negative
1135385,DUDE! A TREE ALMOST KILLED ME!!! Its was so kool  *Not death wise*,positive
531878,Gotta clean the table with the motorcycles   &quot;is every godamn women in this godamn hellhole out of their godamn mind?/no sir! Were j ...,negative
1160131,"@hamisherskine Sounds excellent! Now to see if work are happy to kick in ï¿½1,540 for professional development... ",positive
29803,And now anyone and everyone can see my insanity  lol,negative
1256849,Just got hit with a water balloon by my son! So much for buying him anything else! Stinker! ,positive
184791,Watching DBSK'S latest MV its so sad ,negative
963519,@aaronmyers Yeah I did. I took an Advil PM. Those things are leathal! Lol! But I slept like a baby though  Hope you rested well too!,positive
1173494,work at 11:45-7:15  then coming home,positive
62712,Mean girls is on! Why does aaron samuels have to be gay? It's so sad ,negative
1277408,talkin with foreign people the usual. and eating a hot pocket and frozen pb&amp;j yumm ,positive
1446095,Got out of work early....at legends for a while   happy birthday FRAN   --Ian,positive
1003782,@duciaestherine i guess you just had the greatest afternoon nap ever. ,positive
770516,Wishing i was at the beach. ,negative
1539335,http://twitpic.com/7b735 @mmarinnaa arenÂ´t we in that picture????   ,positive
1517306,@pippad I'm working from home so can sit in the garden between doing bits  Poor you... *hugs*,positive
618451,I've been trying to upload photoa on my comp. For weeks my camera isn't letting me ,negative
1095968,"@AntMcl Re: unfollowing - well, I only unfollowed those who hadn't tweeted for at least 30 days, so I doubt they'll even notice! ",positive
787163,@Queenofthemorn I am lost. Please help me find a good home. ,negative
1384473,@iamjuh and anyway i'll see you all tmrw ,positive
916813,"Mmmm, shower. ",positive
435731,@Pink oh who am i kidding its ages ,negative
637427,"According to Phull, we're getting a Physics assessment next week. It's not due till 6 weeks later, but still. Fuck me dead! ",negative
369521,Camera died while trying to download all of my photos  Guess I'll work on dinner while the battery charges....,negative
263368,@Andreaheartscgh is your mummy ok? awww. ill keep her in my prayers ,negative
724532,needs to go now ,negative
646989,this weather's depressing....lots of strong thunderstorms moving into the area...not much chance for outdoor shooting today  ,negative
1049814,"@javierabrown You have lost your mind! Ok, your #5 on my life plan! ",positive
1528734,"on my way to ohio! semi-long drive, blah. btw,i'm going to mitchell's house, ha! ",positive
406411,I'm gonna try and sleep again | why do all my favourite careers involve fame .. ,negative
68474,Raining ,negative
857073,@stayingyoung Oh yes. I wrote a blog about little Jack Walden. here you go.  http://bit.ly/1ahHKB,positive
963951,@hannahstweets I KNOW!  ITS GONNA BE AMAZING! HAHA!,positive
56964,@KPappsmear you know the drill...we love to hire your but.......what I'm over-qualified. ,negative
886107,is going to enjoy a relaxing Sunday with my little girl!!!  I hope everyone has a wonderful relaxing Sunday!!!  ,positive
1001809,@Arnibella Yup it was fun! watching 21 ,positive
1508865,@derekfisher Yeah Derek! Gr8 job on getting that 4th ring! ,positive
698942,lost the soccer game ,negative
156262,@mrskutcher yes they do this at walgreens where my aunt works is't sad ,negative
1583537,@MelskiProboski Thanks alot for posting that article about back links. I'm trying to start my internet marketing career  Useful info!,positive
679820,@Ali_Sweeney I didn't see it because Vegas was showing the US open.. I haven't seen Days since Wed.. Mon I will be so lost ,negative
10180,"received at least 5 phone calls today already, Telemarketers! ",negative
1184013,@talyssaa well tokio shouldnt be the first thing that comes to your mind when thinking of germany though  u like them?,positive
795545,@MariaMillions I WANNA BE THE BEST TOO! ,negative
461771,"im watching True Blood @MAX, still season 1 ",negative
1097280,Good morning world ,positive
1281583,"W4M: Letting go &amp; moving on, interested?  - 18 http://tinyurl.com/nm7xvp",positive
636970,@kanika1386 by d way they stil havent given us coffee at office   ,negative
945234,@AnnaTaylors @lauriebee Glad to meet you ,positive
128571,has to go to class  ....i sure wish the hubby was here.... ,negative
1179022,Me cree una cuenta en Twitter!!!!!  YEAH!  I have a new Twitter acount!!!  Yeah!,positive
1447708,Had soooo much fun at the South Side Salooooooon ,positive
179709,Mosque and mini-golf! haha I tied for 1st. It looks like the Yankees aren't playing tonight   but I'll just play Fifa! ~Zade~,negative
1470848,new design &gt; http://cbelle.org made by @gisellepr  she's awesome!,positive
1504832,three days of school left before work experience ,positive
1463292,just heading off to 2nd BBQ in 2 days.. You'd think it was summer or something. Having fun dodging the showers ,positive
731197,Never eat chocolate and glow stick stuff ,negative
211598,Really don't want to go to work tomorrow  it's too nice,negative
903221,"@yumecouk haha, nice wheels. Victoria will be doing her own peddling thankfully, the boys will get the free ride ",positive
835580,"@dinidu thats life man, you never get attention from the one you need attention from ",positive
712348,Can anyone give me a ride n take me home from the 3 softball games in wadsworth 2marrow Jims team is playin 2marow n i rele wana go ,negative
1208392,"Oh are the shops open today and when they open ? Really, I'm too lazy to even think to go somewhere. Btw, it's officially summer NOW.  â¥",positive
209375,"michelle and izzy's coming with grapest, Rose and I to Japan Day  dammit. if only alex knew them all ",negative
253405,is bored as heck.. ,negative
1313402,"@WTF_JayR lmao. ikr? ehh, I have like 9 days left. ill get through it. ",positive
22665,OHHH NOOOO x(  School tomorrow 9 lessons -.-  and 1&amp;2 Sport x(    5&amp;6 Franzï¿½sich x(       so sad that I've school tomnroow ,negative
1059668,@jamiegilderuk soo going to watchh toystory  are you going to see toystory!? how are you?  xxx,positive
1514842,dear friday... please hurry up ,positive
1199003,Might be moving to a new house. ,positive
912161,@james_a_michael CUTE  thanks for sharing! AND PLEASE Direct Message ME before you go to bed James ;) ;) you know you want to!,positive
987487,; College times  ... sat next to Zach and ashleeeyyyyy  .x,positive
120203,"is a zombie  &lt;3 hrs sleep, back pain. Flu. What more can I ask.",negative
532123,Hmmmm internet is going funny  Listening to McFLY  x,negative
430437,@GoldenFish00 Don't gave time   Have to go to a b-day party in half an hour or so..and my parents are poo sometimes!,negative
630309,my gum hurts  I don't go back next week to remve two more permanent teeth,negative
557241,@noberts uh DITTO except I finished both series ,negative
283251,"Heading down to Atlanta. Don't have time to go, but I have no choice. ",negative
1379473,@jvdklis Yes you should she will look great in that  And i will make an painting of it ,positive
151188,Reading tweets....but not sending out any of my own ,negative
501087,"My widdle boy turns 20 (as in, TWENTY) TOMORROW.    How did this happen???",negative
922553,@laenij can it at least be may 22nd first? because I'd really like to go see empires ,positive
724140,cupped at PCG today..what a way to depart ,negative
631395,@liamprescott ohhhh fun! mixing songs?? lol  im boreddd too at home! ,negative
1188646,Is looking for financers to continue the good work and development of 9-box. Today we brainstormed about varieties on the original 9-box ,positive
779461,early morning  P.E today...not gonna be fin!  At least Chloe is coming round so I'll have my name buddy! ;),negative
330068,@christinetraner there better not be anything wrong with him ,negative
303894,"i have finished watchin season 4 of greys anatomy and it is 4.30 am!  i am a freak  i have to go to bed now, i have to be up in 6 hours ",negative
1040859,@dianeskie sure i will post it sa blog at sa flickr ,positive
179532,"@KRITM awe I am sorry, probably true. ",negative
902145,IDIOTat)MilanQ Heyy. Th*nks For The Follow.  Have A Good Night. (Frank_Whyte) #IDIOT,positive
965259,http://bit.ly/SOmlk  ? you have to hear it in a car with a wicked sound system or in a great club. ,positive
935014,"I chillin at home, but tomorrow I have class at smc ",positive
8276,@mea_86 I'm sick face too ,negative
1416720,@inigoboss i sometimes use this orange infused herbal tea... most yummy it is.... been experimenting a la dolly's tea shop ,positive
1281511,:Home at last The Intrepid Memorial Day off the hook..Isaw Terminator Salvation again ,positive
1158634,another day of revision lies ahead-exams (mainly) over in 2 weeks though    also 3 consecutive days of sun?!?!,positive
634037,"Breaking up with my iPhone!  She's good but I'm leaving her 4 a younger, faster iPhone tomorrow. Come to Daddy 3GS! (via @LouRamirez) #fb",negative
527024,Travelling frm Karur to Bangalore... Have to get to work tomorrow  . In case I don't reply I'm either out of network or battery died,negative
1318717,"Shave, shover, and then to a hotel seminar. Nice windy day in Oslo ",positive
1245229,btw everyone loved my hair cut today at school ,positive
76539,good friend and great lawyer b. michaels was my 300th follower...too bad the majority of the group are spamers ,negative
550584,Awkward moments.. More like bullshit moments. Fuck this ,negative
1261706,@ToshaDash I can relate...1 hr on the phone with someone in India...grr...finally I am up &amp; running ,positive
1584140,@timminchin : hi Tim .. just wanted 2 tell u my favourite of all ur performances EVER would be when u sang Hallelujah - that was magical ,positive
987581,I hope there'll be a sequel to the film &quot;Confessions of a Shopaholic&quot;. ,positive
753276,@donniewahlberg thank u for everything. ive had so much fun this past year. cant believe my last shows are this week! ,negative
1143199,@Kenichan I want to! ,positive
146920,Gooodmorning twitttter! Senior goodbye rally today ,negative
905595,"@PaulaMacKay I think he thought about it, but then I sneezed on him ",positive
1415389,watching cunning stunts before my second time in less than a week ,positive
167280,"so not in the mood to go to work, but i guess it's gotta be done ",negative
945207,Freaking out that @sparklefade3 just walked into the training im in! ,positive
612579,"@YungRyFunk AWWWWW I would miss him too, he looks so adorable ",negative
175301,@kristianinicole I left it @ home  http://myloc.me/21cN,negative
465866,yay finishing work in 5 minutes woo hoo.. damm it I have to go to physie ,negative
1135834,is kicking my sister's ass in mario kart  yay for bonding http://plurk.com/p/xa8zk,positive
1393908,"Whoo hoo.. Just woke up, had nice 2 hour sleep in afternoon. Feeling refreshed! Now I'm gonna go out ",positive
1076794,And here's my picture with Ray  I look really bad lmao  http://twitpic.com/68c53,positive
241980,No strawberry fair today...I have to wait until June 2nd... ,negative
450107,"@heyimsam omg, that part made me cryyyyy! ",negative
1091702,Weekends: Because no one could think of a better excuse to have 2 days off work and school. ,positive
600721,wishes he was there!  http://plurk.com/p/11vjww,negative
496359,"@Ms_Jemilah i would KILL to go back to my size 8 wearin days! shooot, that was like 5th grade, real talk! smh.. i'm up to a 12 in wmn now ",negative
375538,@mitchelmusso i dont have any money to buy your album yet ,negative
104410,dylan died  but star trek was gooood.,negative
893554,"Apparently, you DO attract more flies with honey than with being a douche. ",positive
85085,Is at the park but has no bread for ducks and geese ,negative
1596154,@dutchdragon Yeah I did... Apparantly I couldn't cross the ocean. Shame. Gefeliciteerd dan alsnog ,positive
694742,Only 3 concerts &quot;HITY NA CZASIE&quot; in these summer holidays ,negative
336394,leaves Las Vegas really soon ,negative
1541336,@twigtomorrow hehe my usage patterns are probably as destructive as puppies - especially to CPUs ,positive
1091190,@DanMacPherson aw that doesnt mean you dont generate heat my friend - lol ,positive
1529064,Yeay finally 14-19th July! Can't waaaiiiitttt ,positive
82876,my hair smells like chemicals. ,negative
148489,evime gitmek istiyorum art?k ,negative
348823,Schedule and budget making me regress to the diet of my college years!    On the lookout for more ideas like these: http://bit.ly/jYtn6,negative
1136374,I feel like going to the beach  and twittering all the while!,positive
7826,"Hmmm, I'm on holidays, but working. How does that work? ",negative
1474978,On the hunt for some purple finger nail polish.. Got to get cute for this wedding. ,positive
1164140,Now finished work..time to celebrate my birthday ,positive
879352,@kikila Watching Movies on TV and drinking wine ,positive
251756,@thedeadknight band code? I don't have one ,negative
1493050,Going home ,positive
1100665,"is listening to music,  ",positive
661312,I am so good at shirt and tie combos it scares me sometimes. ;) I am so bored at work though.  ,negative
559929,the sun is shinhg and I sit in my room and work on a presentation and essays...Want to be an Ernie right now ,negative
1343309,"Thank you Lakers, I just got $100 from my dad. ",positive
1376037,Good morning tweeps #imtz on this sunny saturday morning in Zagreb - not a cloud in the sky and the air is fresh after yesterdays rain ,positive
1155466,Mithun Da and Mr Bachchan in Del - for seperate events.... Agneepath Revisited?? ,positive
603620,@stonedragonfly No...  He starting to scratch like crazy poor thing. I go to the dr. in an hour. Hopefully we don'y go crazy until then.,negative
600083,sad song + rain = ,negative
232865,my boop it just broke ,negative
433184,home xD I burnt my arm on the steamer at work twice  lol,negative
347426,aaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh. Crabby today ,negative
414689,@Suprcharger5150  I'm sorry.,negative
645494,really wish mum didnt would stop giving me jobs to do  then... band practise at 2...,negative
537208,"Gah, realised I left my headphones at Vapiano earlier.    Really hoping somone handed them in, will be going by to check tomorrow.",negative
728477,@ddlovato not me  good luck though!!! and break a leg...or something that doesn't hurt as much...haha.,negative
1344412,"@acballistics For a person who didn't like twitter, you tweet a lot. ",positive
260202,"Nervous for Monday morning, I wonder what will be said. He means a stupid amount to me ",negative
463166,I just stood on a snail ,negative
978911,was oblivious to the earthquake while riding my bike! anywho ... i just enyod the film rudo y cursi in arclight sherman oaks ,positive
709574,@rianepanic just my coach. ,negative
783028,I forgot to put on flip flops ,negative
1151395,"@adrence aww thanks, you are too sweet!! i'm sending u my yahoo address now ",positive
1393081,happy it's not raining yet though ,positive
1056001,@CPKIII after i typed it i realized most people would look and think 'tasty' instead of 'pretty' ,positive
1572297,still feelin' bad but im deff going to work at six flags tomorrow. 4ish days felt until im outta SA and see my wife! ,positive
448534,@katietaty I know right? I keep fogetting to do mine ,negative
1249675,"@TehKimber Thing is I do that, too! I think I have it. That's why I'm never the 1 2b angry if someone forgets my name. ",positive
892671,"Wooot Just watched Full Metal Alchemist: Brotherhood 5, I'm Getting used to mustangs new voice... that episode was awesome ",positive
260584,"@jimmyfallon I'd love to come see your show live, but I can't afford the plane ticket to get there from MN. ",negative
1118447,@robector http://twitpic.com/69s02 - Awwww @gyrl81 you look beautiful ,positive
1177952,@ridhi_07 best time for fedex to go back home wid trophy..  #rollandgarros ..,positive
307419,@maddymorbid it is indeed! I can't sleep ,negative
1534948,Just wanted to say hey to all of my New Followers  How was ya'll weekend?,positive
341159,@ahh_lyss_ahh Let the Lyndsie thing go please ,negative
1504315,@weredoodle haha i know...i miss you ,positive
1512854,Soooo tired. Okay...time for bed! long week ahead. Let's start it rright! ,positive
1326211,@amycutbill @alexparr just adding you both now ,positive
907932,Recovered now  Back to work!,positive
456397,Why is hisgoldeneyes down?!? ,negative
274629,"enjoying iced coffee, but not enjoying studying for accounting so early ",negative
1049120,"At work pretending to work,instead I'm twittering. ",positive
154322,i feel sad for mike tyson. what a tragedy  http://raymond-reviews.blogspot.com,negative
566115,Man. Today is @sstephdewhurst 's last day of school.  at our school anyways. I'm so sad.,negative
1044445,@dayeee Sounds good. ,positive
65758,MY MOMMY NEGLECTS ME AND DOESNT FEED ME!!  GgRrRrRr! YOU HEAR THAT? thats the sound of a empty belly ,negative
398021,.....rain clouds clearing up....now I wish I was home again.... ,negative
5957,it is snowing ,negative
953132,@goofy_vamsi  Looks like u were on the counting job that DD use to give us!!! ,positive
691517,Raining today  Oh well that means I don't have to do yardwork !,negative
1506269,@gilbertftw hahahahah. thanks ,positive
959116,haha  yeah i diiiiiiiiiiid!,positive
1396888,"@jannarden Douglas Coupland. Cdn writer, artist.  Wrote Generation X, Microserfs. Smart guy. But aloof ",positive
1161819,Joined Twitter ,positive
1273447,"Ð?Ð¼ÑÐ°Ð»ÑÑÐ½ Ó©Ð´ÑÒ¯Ò¯Ð´Ñ?Ñ?Ñ Twitter Power Ð½Ð¾Ð¼ÑÐ³ ÑÐ½ÑÐ°Ð°Ð´ Ð´ÑÑÑ?Ð»Ð°Ð°. ÐÐ°ÑÐ¸Ð¼ Ð½Ñ?Ð³ Ñ?Ð¾Ð½Ð¸Ð½ Ñ?Ð°Ð½Ð°Ð°, Ð¼Ñ?Ð´Ñ?Ñ?Ð»Ñ?Ð» Ð°Ð²Ð»Ð°Ð° ",positive
804206,Created an online order form for Miss Carnival  http://tinyurl.com/cnra4t,positive
932443, working and enjoying,positive
1212543,@twitter Thanks for the help!! ,positive
48819,i cant sleep ,negative
910263,@spiderdj82 thank you. yes yes. hooray! ,positive
1351543,@mollykamikaze indeed it is! Very good ,positive
620558,"a little sad because maybe a friend is angry with me, and i dont know why, dont understand ",negative
587649,wants to win back her ex-wife. Why did Cory the car salesman have to come and sweep her off her feet??  ,negative
1067416,movies with bffs bbl  &lt;3,positive
657413,@spotlightfairy i know the feeling... the never ending list... the worst ,negative
356533,"Last day at Jakki's, not quite sure how ready i am ",negative
125195,@hannarnia cum bck 2 facebook hannah i iz missin u i want u 2 tell me more about the new ting in ur life ,negative
949035,@MichelleyM That movie is supposed to be horrid! And here: 208-308-7764... I don't care if anybody stalks me. I'd like it. ,positive
719697,"@AMissle damn, you got the fever! you cold too I bet. no work for you tomorrow  haha and yous a BOSS!",negative
922865,@ch8se23 haha.  we're u cheerleader too?,positive
1259112,@spookerlabs Thanks but I have acquired it ,positive
423124,"haha, that's tiiiight! but seriously hella random! he used to pick on me all the time when we were kids, hahaha! ",negative
1580810,"@lukemarsden safe journey to u both, I love your column  does Bex like vintage clothing?",positive
1211397,@thisisshane it's a great album hey  in particular the girl and the robot with robyn ,positive
280955,@dearlennon awww bbkins.  i lerve you and hope you feel better rn. &lt;3 :*,negative
1553601,I'm thirty (cough) years old and I still like to get a running glide on a grocery store cart  (via @waysidedrive) amen to that.,positive
646684,Dammmmmm got college again on Monday... i've grow used to this life of non-stop &quot;chilling&quot;... ,negative
708114,Mowin time. At my father in laws so no salty frog coronas ,negative
783995,"just read my previous tweets &amp; found out. I started tweeting since Apr 15th, with average of 3 tweets/day. Now its becoming to 30/day!! ",negative
728482,sufferiing headache ,negative
489343,http://pic.im/5ng Oh dear ,negative
1173220,"@caravs Thanks Prims! I shall text thee, and gosh I sure do have kwento! I have mind blowing ones to tell you about! ",positive
1498576,i almost forgot about JONAS! whats wrong with me? jeez. lol. wathced it though..) wayy awesome!!! ,positive
444029,fell asleep and just woke up  sorry @unotreehugger,negative
1032300,All u unemployed individuals get a job!!! LOL jk ,positive
484509,I have never been so excited (in a very intellectual sense) to try out the infamous explicit.bing.net but I'm on my work computer ,negative
24193,can anyone give me help with the introduction on our geography ,negative
577471,The days are long and the nights are short ,negative
1274073,"@thetasjasachs you're a movie star now, u don't need that weak ass job anymore. ",positive
762417,Just got zapped by a fly zapper...  OW!,negative
1063691,"@timnovinger my chair reclines, but i only seem to recline when im on twitter? lol sweet.... work week is OVA... err over ",positive
1223304,@LouiseMadden oh and I think... A homage... ,positive
663163,"@rms70 meal was lovely,even if I was alone   I thought u were saving till honeymoon?",negative
1344624,Time for bed.. Drunk sleep is the best ,positive
1304589,@So_Chi8 heyyy christian ,positive
639408,"has been up for HOURS  only an hour or so's sleep. Fucking depression, fucking life  just fuckoff &gt;.&lt;",negative
27267,Just got online.. only to realize that her friends are already gone.. ,negative
1061506,"Hoping I get the CD's that Chrissy sent me in the mail today!  Seriously love that girl, she's awesome.",positive
381642,really doesn't want to go to work... ,negative
917897,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.,positive
1036239,@crusaderz4life Gotcha all confused Sorry I'm still looking for the one  I found the one that wasn't!! So Starting over. ,positive
179116,"@PrincessPDexter Ohhh, he is very regal man-cat! But he is blocked ",negative
700611,Aww Today is my Papa (grandpa's) 96th birthday and I miss him ,negative
60809,@ work again. god the days drag up here. 14 hours 2 go  **nikkimouse**,negative
330727,"@heatherduh welcome to my life, been sick the last two days and lost my voice today ",negative
203922,"Well done Rangers, well done Chelsea, I should be exstatic but instead I'm feeling angry, upset and a bit hurt ",negative
896932,@kasey79 &amp; if not...we'll always have May 1st! ,positive
729979,"right I'm off to work now and I'm fucked totally  my finger hurts, my ulser hurts, my leg hurts. Haha I moan alot",negative
1292533,ILOVEYOU-KATY PERRY. ,positive
1286533,"@brightondoll, well im off to bed  ill talk to you soon sweet dreams... ciao!",positive
1037277,The guy in front of me at Ross just bought high heels...don't think they were for his girlfriend! ,positive
258299,Chicago just ended.  i wish i lived in those days                                   (RICHIE),negative
1499453,@Charlie_Coward i live by the city of course i spend some time there  what is it you love and isn't the local show thursday?,positive
644650,@elleLOVESgreys same here lovely!!!!  Last night way ELL for me hehe. but yes... i miss it oh so much ,negative
1149466,Fun weekend ,positive
648307,#georgiatheatre can't believe Georgia theatre burning down... sad day in athens ga.... ,negative
1467106,124 followers!!  ,positive
185016,@elleskitchen I'm game! too bad there are so many miles between us ,negative
167022,I have a feeling today is going to be very boring ! Work @ 3  till 9:30,negative
906664,You never really stop loving someone. You just learn to try to live without them. ,positive
744774,"@meloxmarvels ahhh parking tickets suck  i've had two before, as if they don't get enough money out of us!",negative
859551,trying to convince my boyfriend to take me to the cco for my bday  ive heard its really shitty but oh well i wanna goo,positive
1450518,"going to hayleys tonight , SEX &amp; The CITY marathon tomorrow, fuckkk yessss ",positive
200911,It's official...my pitty has arthritis in her hips ,negative
271241,WTF???  Air France flight disappeared from radar.  That sucks ,negative
1045217,@johngrrr you really dont babes. Your perfect  iloveyou.,positive
1138272,Twitter going up and down.  I'm getting dizzy. ,positive
1260858,@xoClaraxo yeah i know!  i bet it's because he toured with david ,positive
1276219,"i'm far away from my copy of Dead Aid, cn sum1 quickly remind me whether it discussed HIV? cnt remember  cnt discuss Africa w/out HIV.",positive
445319,@Alecmonty Fat chance of that I suspect ,negative
1252942,"@Stevehoward999 Thanks. We should respond RIA business demand quickly, right ? So I do whatever it takes. ",positive
236351,No Tweets from me for 9 days  flying to the Algarve tomorrow  Bye bye!,negative
1412820,MILEY CYRUS YOU NEED TO GO AWAY. THAnks ,positive
196185,@angielala awww mommy. I was tryna catch u b4 u left!  have a safe flight &amp; sawwy about yesterday I was dead tired. ,negative
763343, why did ugly betty have to be so sad? think i need that petrol station paper roll now ,negative
1369720,@areevez thx 4 the FLW ,positive
410224,listening 2 hubby snore ,negative
1407742,"getting ready to go my nephew's 1st birthday, burgers, hot dogs &amp; a SNOW CONE MACHINE MMMM MMMM!!!! ",positive
1317871,@Gina2010 I took B+ in my history essay ,positive
1477706,@lingenla can you bring season 2 into work tomorrow? I'll finish watching season 1 today ,positive
1074632,"thanks for making me go throught that today in english, cherie ",positive
1132054,says good morning!  http://plurk.com/p/x9zgp,positive
1512855,"@frannykirbs Manchester forecast is for rain, so far. Which is traditional, at least  I'll be doing a guided ride for new bikeys on Weds",positive
53180,still drunk and work in an hour...fml ,negative
1341989,@lewis_duck No! It was ruined in 1982 when hip hop and rap appeared ,positive
911995,"Going out to down town with a friend, long time haven't seen him...OKOK.. i am feeling fresh again ",positive
969015,@jitsufreek ahahaha dude it was the best procrastination the night before our exams  haha,positive
215951,@australias lmao i was so stoked when i got ~muffin. i was sad cupcake was taken tho ,negative
1271138,"@TheXiaxue PS: It's only a theory based on my dog, Hazel! Since I haven't looked at Pumpkin's teeth I'm just assuming. ",positive
1219582,@email2me yay! i took the cheese cookie instead  ,positive
739875,Today Delhi is very hot!! ,negative
1461610,"@psparkle We are all thinking of you today daniel, may the work be swift and the lunch break, protracted ",positive
626656,@jaysean When r u coming to VEGASSSS?? we need a show.. feeling a bit unloved here ,negative
562567,tired as fuck ,negative
454147,"@laurenn7 Yep, I do, but its not connected to the internet. So i can't download so therefore you probably wont wanna live with me. So sad ",negative
1005241,@ChrystinaGrace goodnight gorgeous.. i hope sweet dreams find you ,positive
1053794,"@cowboy_alan Uh, why are you encouraging Shannie to drink brandy? Better to chill with the Holy Spirit than with other &quot;spirits&quot;. ",positive
806946,Leaving House now gonna switch to texts ,positive
915797,Good Morning and Happy Mothers Day everyone ,positive
1001452,watching WWE ,positive
408970,@ArchAngelica17 That's not nice. ,negative
181293,"@bigpieps  That's why great, locally owned breakfast restaurants like Chef's Hat in De Pere have to stop serving breakfast - making me ",negative
991896,"Business exam went well  It was a good paper, 2 down 3 to go!. next up... MATHS",positive
1154856,@thepurpleblug Thank you dear!  Appreciate it!,positive
182475,Bonyok brkt siangg ini.. Annual honeymoon.. Huhu rumah sepiii 2 mgg ,negative
385440,"Grr... revising history is DULL. But at least the weather has cooled down, not helping me concentrate though ",negative
103547,doing sound for thesis ,negative
282391,"mann, i smell beef noodles.  i want either chicken or surry ones ",negative
595613,I wonder where is the &quot;Take a Picture&quot; in messages on OS 3.0 can't find it ,negative
766413,"@LiV0667 Hahaha, I'm sorry.  And okay, I will. ;)",negative
713786,"@logansutch they didn't reply me, i'm losing my hopes that someday they'll say just &quot;hello&quot; to me... ",negative
498982,thoughts are with the people of Iran ,negative
1513034,"@pervvvy don't panic, Jonacheg will help you  vodka vodka vodka",positive
962063,Does any1 believe in love at 1st sight? And not just with celebrities. ,positive
606145,i've just been disowned by my coworkers due to bad punage ,negative
1286066,@NosferatuJ I had a fifth and a half in me before the stitches...lol.  Waste of money or a cheap anaesthetic? ,positive
1287542,@shaggysi0 why wouldnt i? lol. e3 is like porn to me lol. ,positive
1405630,@johnwinsthegold My meat was also like butter  Some days I impress myself with my cooking - today was one of those days,positive
1337476,Count down to &quot;T&quot; day ,positive
253672,new fashion update: iheartsl.com:  http://tinyurl.com/nz9kmo,negative
987914,@brevity don't hold back! ,positive
550976,@fletch_vaughan Just looked and it wasn't there yet....very sad ,negative
819292,yes! i just got wifi to work on my iphone  lol,positive
1188504,@missdlee yer cool!  i want a photo shoot.,positive
1400828,"@nadhiyamali I say Miss, Its mine too and it was ring-tone of one of my phones for almost 6 months ",positive
1389638,"Just got back from my bestfriends's sisters wedding, this memory card is FULL  LOADED! and i'm about to take a nice easy nap  LATER",positive
1221668,Off school for the day... although my foots pink + girly! ... The plaster was nice and warm until It went cold.. talking to Isaac  x,positive
898276,i love everything about mysty ,positive
75780,@prettyinpunk406 But then people are afraid of pork so they aren't calling it &quot;swine&quot; anymore. All of this makes me cry buckets of tears. ,negative
570540,memorial for mr.leatham tmrw ,negative
402152,"damn . i miss my graphic programs. that i lost when my last pc crashed  tried to resize my kitty pic, hes a pimp with cash and cigs haha",negative
1085647,@ddlovato have fun. I'm looking at things for my senior trip for next year.  I'm think Puerto Vallarta.  i'm so excited.,positive
628187,taylour lautner......  i can't send u a direct message.,negative
